timestamp_s,trial_id,phase,stimulus_side,norm_x,norm_y,raw_lx,raw_ly,face_detected
1777402318.8692222,1,stimulus,left,0.0024903266414011416,0.003176673817333775,0.3823021829128265,0.48066245317459105,True
1777402318.9339697,1,stimulus,left,0.003791424568431845,-0.007628481244861929,0.38281588554382323,0.4784077286720276,True
1777402318.9983368,1,stimulus,left,0.0005015616149914859,-0.012941824221870846,0.3836940169334412,0.4758006513118744,True
1777402319.062684,1,stimulus,left,0.0038973770992993817,-0.012126198324821091,0.3832706928253174,0.47434366345405576,True
1777402319.1265738,1,stimulus,left,0.0008235506398773795,-0.01562848236004677,0.38355929851531984,0.4737295091152191,True
1777402319.1888855,1,stimulus,left,0.00542349224448313,-0.006172392518956182,0.38287087082862853,0.4732071280479431,True
1777402319.2701173,1,stimulus,left,0.002691253466128307,-0.001377334613236525,0.38245773911476133,0.47173110246658323,True
1777402319.3349745,1,stimulus,left,0.0057398337672336375,-0.0036967091871815683,0.38258910179138184,0.47104373574256897,True
1777402319.3973472,1,stimulus,left,0.018135417893587413,0.0026289853138247166,0.38349071741104124,0.4713339745998383,True
1777402319.462404,1,stimulus,left,0.017333951527016334,-0.005410388634869423,0.38591979146003724,0.472472208738327,True
1777402319.5262804,1,stimulus,left,0.009498315272239433,-0.0166859074367971,0.38786777257919314,0.4733822524547577,True
1777402319.5896478,1,stimulus,left,0.003938096640466071,0.004783619183938215,0.38902164697647096,0.47463709115982056,True
1777402319.6525705,1,stimulus,left,0.0017031051117977203,-0.030411891638947086,0.3913381814956665,0.47435725331306455,True
1777402319.7185552,1,stimulus,left,-0.003043174261830872,-0.025813587677070315,0.39262831807136533,0.473541784286499,True
1777402320.0344992,2,fixation,none,-0.004135789543045165,-0.03709580048833416,0.39444893002510073,0.4704494118690491,True
1777402320.053969,2,fixation,none,0.01270109541435488,-0.002581716989709326,0.3986863434314728,0.4735778570175171,True
1777402320.1195083,2,fixation,none,0.0014568813179411944,-0.016232139382677535,0.39898364543914794,0.4746894180774689,True
1777402320.1819177,2,fixation,none,0.006530445403564067,-0.020744418490911798,0.3988232910633087,0.47520205974578855,True
1777402320.247472,2,fixation,none,0.0024087543631485797,-0.03350606440024473,0.3987860560417175,0.4748387932777405,True
1777402320.327094,2,fixation,none,-0.006000719923423992,-0.01841145062098004,0.3980630099773407,0.4766203284263611,True
1777402320.390416,2,fixation,none,-0.010558225866972082,-0.0278664163906025,0.3977042675018311,0.47609134316444396,True
1777402320.454879,2,fixation,none,-0.006749740280144856,0.0006632787489333491,0.3977758586406708,0.47677170634269717,True
1777402320.5176153,2,fixation,none,-0.0066244430184270175,0.007233887168796249,0.3887278914451599,0.4772544205188751,True
1777402320.5809689,2,fixation,none,-0.001939651326438696,-0.005510805101984206,0.3875341176986694,0.47865968346595766,True
1777402320.647014,2,fixation,none,-0.000537095180939362,-0.019255266269096794,0.387282657623291,0.47859281301498413,True
1777402320.710957,2,fixation,none,-0.006694005712340467,-0.030248590702941835,0.38734154105186464,0.4784832298755646,True
1777402320.7740982,2,fixation,none,-0.005599966579758697,-0.008560456876270273,0.3872686564922333,0.4796171963214874,True
1777402320.8549333,2,fixation,none,-0.005482676855510515,-0.025576744344455227,0.3871405363082886,0.47959309816360474,True
1777402320.9161928,2,fixation,none,-0.004051685700427132,-0.027100048657492826,0.3872586667537689,0.4795019567012787,True
1777402320.9828994,2,fixation,none,-0.00386232601153802,-0.023884419601295948,0.3871788024902344,0.47956730127334596,True
1777402321.046814,2,fixation,none,-0.006685227310121444,-0.023841573207563305,0.38693604469299314,0.4793966770172119,True
1777402321.1103067,2,fixation,none,-0.005378165719607142,-0.023591417723410002,0.3867176055908203,0.4797080636024475,True
1777402321.172691,2,fixation,none,-0.004601780736481986,-0.0271328667183125,0.3864337682723999,0.47980391383171084,True
1777402321.2386856,2,fixation,none,-0.006068299435020963,-0.03843319873453066,0.38610756397247314,0.4793660223484039,True
1777402321.3177793,2,fixation,none,-0.00843348167509883,-0.024958106131844238,0.3861876964569092,0.47985623478889466,True
1777402321.3829367,2,fixation,none,-0.008888897504256699,-0.025999936397251622,0.3861384987831116,0.47985835671424865,True
1777402321.445974,2,fixation,none,-0.006609684829246287,-0.030153561052613798,0.38636724948883056,0.4800447702407837,True
1777402321.510656,2,fixation,none,-0.00772393825564921,-0.029820291303594315,0.386397922039032,0.4802139401435852,True
1777402321.5747485,2,fixation,none,-0.0055465054618273335,-0.043251398097577165,0.3864374041557312,0.4798595905303955,True
1777402321.6385462,2,fixation,none,-0.004913207740712799,-0.03761308595194568,0.38617782592773436,0.480066180229187,True
1777402321.7014654,2,fixation,none,-0.005618953565079354,-0.034378317464093255,0.38656142354011536,0.4806292235851288,True
